# What the Virtual Calculator answered to the documentation's examples.
# Written by `hpprime examples`; not edited by hand. One row per call.
# entry	call	answer	type	firmware	date
AnovaOneWay	EXPR("AnovaOneWay({1,2,3},{4,5,6})")	{13.5,0.021311641129,1,13.5,13.5,4,4,1}	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
AnovaOneWay	EXPR("AnovaOneWay({1,2,3},{4,5,6},{7,8,9},{10,11,12})")	{45,0.000023559647,3,135,45,8,8,1}	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
Apps	EXPR("Apps")	{"Función","Solucionador","Var 1 estadística","Var 2 estadística","Inferencia","Paramétrica","Polar","Secuencia","Finanzas","Solucionador lineal","Solucionador  (cut at 160 characters)	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-14
ARC	DIMGROB(G1,20,20,0); RETURN ARC(G1,10,10,5);	1	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
ARC_P	DIMGROB_P(G1,20,20,0); RETURN ARC_P(G1,10,10,5);	1	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
arcLen	EXPR("arcLen(X^2,0,1)")	1	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
AREA	EXPR(" AREA(F1,0,2)")	−5.33333333333	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-14
AREA	EXPR("AREA(F1,0,1)")	−4	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-14
AREA	EXPR("AREA(F1,0,2)")	−5.33333333333	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-14
area	EXPR("area(circle(point(0,0),point(1,0)))")	1/4*π	8	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
ARG	ARG(3+4*i)	0.927295218002	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
ASA	EXPR("ASA(30,10,60)")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-14
ASA	EXPR("ASA(40,10,60)")	{6.52703644666,8.79385241572,80}	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-14
ASC	ASC("A")	{65}	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
ASC	ASC("abc")	{97,98,99}	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
ASEC	ASEC(2)	1.0471975512	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
ASIN	ASIN(0.5)	0.523598775598	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
ASINH	ASINH(1)	0.88137358702	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
ATAN	ATAN(1)	0.785398163397	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
ATANH	ATANH(0.5)	0.549306144334	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
AVERAGE	EXPR("AVERAGE({1,2,3})")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-13
AVERAGE	EXPR("AVERAGE({2,4,6})")	4	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-14
BEG	EXPR(" BEG")	1.00	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-15
BEG	EXPR("BEG")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-15
Beta	Beta(2,3)	1/12	8	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
BINOMIAL	BINOMIAL(10,0.5,5)	0.24609375	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
BINOMIAL_CDF	BINOMIAL_CDF(10,0.5,5)	0.623046875	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
BINOMIAL_ICDF	BINOMIAL_ICDF(10,0.5,0.5)	5	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
bisector	EXPR("bisector(point(0,0),point(4,0),point(0,4))")	line(y=x)	8	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
BITAND	BITAND(12, 10)	8	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
BITNOT	BITNOT(12)	549755813875	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
BITOR	BITOR(12, 10)	14	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
BITSL	BITSL(1)	2	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
BITSL	BITSL(1, 3)	8	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
BITSR	BITSR(8)	4	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
BITSR	BITSR(8, 2)	2	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
BITXOR	BITXOR(12, 10)	6	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
BlackScholes	EXPR("BlackScholes(100,95,1,5,0.2,0)")	{9.63320467243,0}	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
BLIT	DIMGROB(G1,10,5,0); DIMGROB(G2,10,5,0); RETURN BLIT(G2,G1);	1	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
BLIT_P	DIMGROB_P(G1,10,10,0); DIMGROB_P(G2,10,10,0); RETURN BLIT_P(G2,G1);	1	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
Bond360	EXPR("Bond360")	0	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-15
BondPrice	EXPR("BondPrice(1.012024,1.012034,5,100,6,2,0)")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-13
BondYield	EXPR("BondYield(1.012024,1.012034,95,5,100,2,0)")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-13
BREAK	LOCAL z; z := 0; FOR z FROM 1 TO 5 DO IF z == 3 THEN BREAK; END; END; RETURN z;	3	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
BREAK	LOCAL zi, zj, z; z := 0; FOR zi FROM 1 TO 3 DO FOR zj FROM 1 TO 3 DO BREAK 2; END; z := 9; END; RETURN z;	0	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
BrkEvCost	EXPR("BrkEvCost(1000,100,20,500)")	5	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
BrkEvFixed	EXPR("BrkEvFixed(100,5,20,500)")	1000	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
